,name,id,nametype,recclass,mass (g),fall,year,reclat,reclong,GeoLocation
12993,Great Bend,11180,Valid,H6,28770.0,Found,1983.0,38.395,-98.91583,"(38.395, -98.91583)"
13023,Greaterville,11193,Valid,L4,48.0,Found,1995.0,31.76167,-110.75,"(31.76167, -110.75)"
13024,Greenbrier County,11194,Valid,"Iron, IIIAB",5000.0,Found,1880.0,37.83333,-80.31667,"(37.83333, -80.31667)"
13025,Greener Reservoir,30666,Valid,H4,45.0,Found,2004.0,39.49133,-112.942,"(39.49133, -112.942)"
13026,Greenwell Springs,11195,Valid,LL4,664.0,Found,1987.0,30.51528,-91.01222,"(30.51528, -91.01222)"
13031,Gretna,11201,Valid,L5,82000.0,Found,1912.0,39.93333,-99.21667,"(39.93333, -99.21667)"
13032,Grier (a),11202,Valid,OC,12.4,Found,1969.0,34.38167,-103.39167,"(34.38167, -103.39167)"
13033,Grier (b),11203,Valid,L5-7,929.4,Found,1969.0,34.26667,-103.38333,"(34.26667, -103.38333)"
13034,Griffith,11204,Valid,"Iron, ungrouped",6000.0,Found,1985.0,33.71667,-102.81667,"(33.71667, -102.81667)"
13035,Griffith Wash,55289,Valid,L6,93.0,Found,2011.0,35.06639,-114.0975,"(35.06639, -114.0975)"
15936,Gruver,11428,Valid,H4,13100.0,Found,1934.0,36.33333,-101.4,"(36.33333, -101.4)"
15937,Guadaloupe County,11430,Valid,Iron,20.5,Found,1950.0,29.5,-98.0,"(29.5, -98.0)"
15938,Guadalupe y Calvo,11431,Valid,"Iron, IIAB",58630.0,Found,1971.0,26.1,-106.96667,"(26.1, -106.96667)"
15942,Guffey,11441,Valid,"Iron, ungrouped",309000.0,Found,1907.0,38.76667,-105.51667,"(38.76667, -105.51667)"
15943,Guilford County,11444,Valid,"Iron, IIIAB",1100.0,Found,1822.0,35.56667,-79.83333,"(35.56667, -79.83333)"
15944,Guin,11445,Valid,"Iron, ungrouped",34500.0,Found,1969.0,33.96667,-87.91667,"(33.96667, -87.91667)"
15948,Gun Creek,11451,Valid,"Iron, ungrouped",22700.0,Found,1909.0,34.0,-111.0,"(34.0, -111.0)"
15950,Gunlock,11453,Valid,L3.2,6800.0,Found,1982.0,37.28333,-113.78333,"(37.28333, -113.78333)"
15963,Hagersville,11470,Valid,"Iron, IAB complex",30000.0,Found,1999.0,42.96667,-80.15,"(42.96667, -80.15)"
15970,Hale Center (no. 1),11477,Valid,L5,610.0,Found,1936.0,34.05,-101.75,"(34.05, -101.75)"
15971,Hale Center (no. 2),11478,Valid,H4,695.0,Found,1936.0,34.05,-101.75,"(34.05, -101.75)"
15976,Hamilton (Texas),11484,Valid,OC,2700.0,Found,1965.0,31.59333,-98.25,"(31.59333, -98.25)"
16321,Hammond,11813,Valid,"Iron, ungrouped",24000.0,Found,1884.0,44.91667,-92.43333,"(44.91667, -92.43333)"
16323,Hangman Crossing,11816,Valid,H4,1300.0,Found,1976.0,38.91972,-85.94722,"(38.91972, -85.94722)"
16326,Happy (a),11818,Valid,H3,2860.0,Found,1971.0,35.68,-101.99333,"(35.68, -101.99333)"
16327,Happy (b),11819,Valid,OC,2505.0,Found,1972.0,34.59333,-101.99333,"(34.59333, -101.99333)"
16328,Happy (c),11820,Valid,OC,884.3,Found,1971.0,34.58333,-102.05,"(34.58333, -102.05)"
16329,Happy Canyon,11821,Valid,EL6/7,16300.0,Found,1971.0,34.80167,-101.56667,"(34.80167, -101.56667)"
16332,Hardesty,11825,Valid,"Iron, IIIAB",8580.0,Found,1986.0,36.57,-101.19,"(36.57, -101.19)"
16333,Harding County,11826,Valid,L4,3075.0,Found,1941.0,45.5,-103.5,"(45.5, -103.5)"
16334,Hardtner,11827,Valid,L6,13000.0,Found,1972.0,37.06667,-98.66167,"(37.06667, -98.66167)"
16335,Hardwick,11828,Valid,L4,7800.0,Found,1937.0,43.8,-96.16667,"(43.8, -96.16667)"
16336,Harlowton,11831,Valid,"Iron, IAB-ung",4000.0,Found,1975.0,46.43333,-109.83333,"(46.43333, -109.83333)"
16337,Harper Dry Lake 001,11832,Valid,LL3,13.0,Found,1999.0,35.05102,-117.30672,"(35.05102, -117.30672)"
16338,Harper Dry Lake 002,11833,Valid,H6,12.0,Found,1999.0,35.05067,-117.30095,"(35.05067, -117.30095)"
16339,Harper Dry Lake 003,11834,Valid,L6,95.0,Found,1999.0,35.0425,-117.30837,"(35.0425, -117.30837)"
16340,Harper Dry Lake 004,11835,Valid,LL3,37.0,Found,1999.0,35.05523,-117.30257,"(35.05523, -117.30257)"
16341,Harper Dry Lake 005,11836,Valid,H6,24.0,Found,1999.0,35.05063,-117.30188,"(35.05063, -117.30188)"
16342,Harper Dry Lake 006,11837,Valid,H6,26.0,Found,1999.0,35.04722,-117.30752,"(35.04722, -117.30752)"
16343,Harper Dry Lake 007,11838,Valid,H5,166.7,Found,2000.0,35.04953,-117.26357,"(35.04953, -117.26357)"
